Content,English,,Español,,
S1 - Result - Apply for SEBT - Body 3,"To receive food benefits for Summer 2026, you must apply by [Date]. Applying for DC SUN Bucks usually takes 10 minutes or less.","To receive food benefits for Summer 2026, you must apply by [Date]. Applying for Summer EBT usually takes 10 minutes or less.","Para recibir beneficios de alimentos en el verano de 2026, debes aplicar antes de [Fecha]. La aplicación para DC SUN Bucks suele tomar 10 minutos o menos.","Para recibir beneficios de alimentos en el verano de 2026, debes aplicar antes de [Fecha]. La acplicación para Summer EBT suele tomar 10 minutos o menos.",
S1 - Result - Apply for SEBT - Body 4,"After you apply, you will be contacted once your application is reviewed.","After you apply, you will be contacted once your application is reviewed.","Después de que envíes tu solicitud, te vamos a contactar cuando la revisemos.","Después de que envíes tu solicitud, te vamos a contactar cuando la revisemos.",
S1 - Result - Apply for SEBT - Accordion Title,How do I know if they're eligible?,How do I know if they're eligible?,¿Cómo sé si pueden calificar?,¿Cómo sé si pueden calificar?,
S1 - Result - Apply for SEBT - Accordion Body 1,You should apply if your child attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,You should apply if your child attends a school that participates in the National School Lunch Program (NSLP) or School Breakfast Program (SBP).,"Si tu hijo va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) y recibe almuerzo gratis o a precio reducido, deberías aplicar.","Si tu hijo va a una escuela que participa en el Programa Nacional de Almuerzos Escolares (NSLP) y recibe almuerzo gratis o a precio reducido, deberías aplicar.",
S1 - Result - Apply for SEBT - Accordion Body 2,Tap here to fill out an application.,Tap here to fill out an application,Toca tu pantalla aquí para llenar una solicitud,Toca tu pantalla aquí para llenar una solicitud,
S1 - Result - Apply for SEBT - Accordion Body 3,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,You may also use the dropdown below to check how much money your household can make in a year to be eligible.,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar,Puedes usar este menú para ver cuánto dinero puede ganar tu familia en un año para calificar,
S1 - Result - Apply for SEBT - Accordion Label Select Number People,Select the number of people in your household,Select the number of people in your household,Selecciona el número de personas que viven en tu hogar,Selecciona el número de personas que viven en tu hogar,
S1 - Result - Apply for SEBT - Accordion Body Alert Income,"If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","If your household's total gross income is less than [$28,953] every year, you are likely to be eligible. Gross income is the amount before any deductions, taxes, or expenses are taken out.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que seas elegible. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.","Si el ingreso total de tu hogar es menos de $28,953 cada año, es probable que seas elegible. El ingreso total es la cantidad antes de que se hagan deducciones, impuestos o gastos.",
S1 - Result - Apply for SEBT - Card 1 Title,"To receive benefits for this summer, you must apply by August 25","To receive benefits for this summer, you must apply by August 25",Para recibir beneficios para este verano debes aplicar antes del 25 de agosto,Para recibir beneficios para este verano debes presentar tu solicitud antes del 25 de agosto,
S1 - Result - Apply for SEBT - Card 1 Body,"The sooner you apply, the sooner your application will be reviewed. Applying for DC SUN Bucks usually takes 15 minutes or less.","The sooner you apply, the sooner your application will be reviewed. Applying for Summer EBT usually takes 15 minutes or less.","Mientras más pronto envíes tu aplicación, más pronto la vamos a revisar. La aplicación de DC SUN Bucks normalmente toma 15 minutos o menos..","Mientras más pronto envíes tu solicitud, más pronto la vamos a revisar. Solicitar Summer EBT normalmente toma 15 minutos o menos.",
