S1 - Optional ID Information - Title,We checked our records and need more information to see if [First name] [M.] [Last name] is enrolled,We checked our records and need more information to see if this child can get Summer EBT,Revisamos nuestros registros y necesitamos más información para saber si [First name] [M.] [Last name] necesita aplicar.,Revisamos nuestros registros y necesitamos más información para ver si este niño puede recibir Summer EBT,
S1 - Optional ID Information - Body,"We suggest providing any of the child's State Assigned Student ID (SASID), SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","We suggest providing any of the child's Student ID, SNAP, Colorado Works (TANF), or Medicaid number if you have them. We can give you a better answer about whether they are pre-approved.","Te sugerimos que proporciones, si los tienes, cualquiera de estos números de tu hijo(a): su número de identificación de estudiante asignado por el estado (SASID), SNAP, Colorado Works (TANF) o Medicaid. Así podremos darte una mejor respuesta sobre si necesitan aplicar.","Sugerimos que proporciones el número de identificación estudiantil, SNAP, Colorado Works (TANF) o Medicaid del niño, si los tienes. Así podemos darte una mejor respuesta sobre si ya están preaprobados.",
S1 - Optional ID Information - Label Which ID,Which ID number can you provide? *,Which ID number can you provide? *,¿Cuál número de identificación puedes proporcionar? *,¿Cuál número de identificación puedes proporcionar? *,
S1 - Optional ID Information - Option Student ID,State Assigned Student ID (SASID),Unique Student ID,Número de identificación de estudiante asignado por el estado (SASID),Identificación de estudiante única,
S1 - Optional ID Information - Option Helper Student ID,This is a unique 10-digit number assigned to your child. Their school may be able to provide it if you do not know it.,This number is the Universal Student ID Number for your child.,Este es un número único de 10 dígitos asignado a tu hijo(a). Su escuela puede dártelo si no lo conoces.,Este es el número de identificación universal de estudiante de tu hijo(a).,
S1 - Optional ID Information - Option Medicaid ID,Medicaid identification number (CIN / I-CIN),Medicaid identification number (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),Número de identificación de Medicaid (CIN / I-CIN),
S1 - Optional ID Information - Option Helper Medicaid ID,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,This number can be found on your child's Medicaid program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa Medicaid de su hijo(a) y suele tener entre 7 y 8 dígitos.,Este número se puede encontrar en los avisos del programa Medicaid de tu hijo(a) y suele tener entre 7 y 8 dígitos.,
S1 - Optional ID Information - Option SNAP Case Number,SNAP case number,SNAP case number,Número de caso de SNAP,Número de caso de SNAP,
S1 - Optional ID Information - Option Helper SNAP Case Number,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,This number can be found on your child's SNAP program notices and is typically 7 or 8 digits long.,Este número se puede encontrar en los avisos del programa SNAP de su hijo(a) y suele tener 7 u 8 dígitos.,Este número se puede encontrar en los avisos del programa SNAP de tu hijo(a) y suele tener 7 u 8 dígitos.,
S1 - Optional ID Information - Option TANF ID,Colorado Works (TANF) identification number,Colorado Works (TANF) identification number,Número de identificación de Colorado Works (TANF),Número de identificación de Colorado Works (TANF),
